var,good_min,good_max,warn_min,warn_max,description,flag
BIRNphantom_shape,0.941427953309648,1.05175367332324,0.923040333307383,1.07014129332551,BIRN phantom shape,
head_snr,1.4,1.5,1.2,1.7,Head SNR,
BIRNphantom_rad,80.9209448163338,86.6421984038845,79.967402551742,87.5957406684762,BIRN phantom radius,
peripheral_roi_detrended_p-p%,0.0,0.5,0.0,0.6,Peripheral ROI detrended p-p %,p
even_ghost_p-p%,0.0,5.0,0.0,10.0,Even ghost p-p %,
DopedWaterPhantom_shape,0.97,1.03,0.95,1.05,Doped water phantom shape,
peripheral_roi_raw_std%,0,0.125,0,0.15,Peripheral ROI raw stddev %,
head_shape,1.4,1.5,1.2,1.7,Head shape,
weissrdc,0.0,5.0,0.0,10.0,Weisskoff radius of decorrelation,W
peripheral_roi_drift%,0.0,0.397,0.0,0.507,Peripheral ROI drift %,d
central_roi_drift%,0.0,0.536,0.0,0.688,Central ROI drift %,D
DopedWaterPhantom_snr,0.97,1.03,0.95,1.05,Doped water phantom SNR,
peripheral_roi_polyfit_lin,100.0,200.0,50.0,300.0,Peripheral ROI polyfit linear term,
odd_ghost_mean,0.0,5.0,0.0,10.0,Odd ghost mean,
even_ghost_min,0.0,5.0,0.0,10.0,Even ghost min,
even_ghost_std,0.0,5.0,0.0,10.0,Even ghost stddev,
central_roi_detrended_p-p%,0.0,0.5,0.0,0.6,Central ROI detrended p-p %,P
peripheral_roi_polyfit_quad,100.0,200.0,50.0,300.0,Peripheral ROI polyfit quadratic term,
odd_ghost_p-p,0.0,5.0,0.0,10.0,Odd ghost p-p,
odd_ghost_std,0.0,5.0,0.0,10.0,Odd ghost stddev,
odd_ghost_max,0.0,5.0,0.0,10.0,Odd ghost max,
head_rad,60.0,70.0,50.0,80.0,Head radius,
BIRNphantom_snr,0.97,1.03,0.95,1.05,BIRN phantom SNR,
central_roi_polyfit_quad,-5.21634333271468e-06,5.54843534508463e-06,-7.0104731123479e-06,7.34256512471785e-06,Central ROI polyfit quadratic term,
odd_ghost_min,0.0,5.0,0.0,10.0,Odd ghost min,
central_roi_raw_p-p%,0.0,0.5,0.0,0.6,Central ROI raw p-p %,
central_roi_SFNR,238.754898030312,365.602121158555,217.613694175605,386.743325013262,Central ROI SFNR,F
peripheral_roi_SNR,100.0,200.0,50.0,300.0,Peripheral ROI SNR,
central_roi_raw_std%,0.0,0.15,0.0,0.25,Central ROI raw stddev %,
even_ghost_mean,0.0,5.0,0.0,10.0,Even ghost mean,
peripheral_roi_raw_p-p%,0.0,0.5,0.0,0.6,Peripheral ROI raw p-p %,
central_roi_mean,100.0,200.0,50.0,300.0,Central ROI mean,
central_roi_polyfit_lin,-0.00306061155726304,0.00338754176512665,-0.00413530377766132,0.00446223398552493,Central ROI polyfit linear term,
DopedWaterPhantom_rad,82.0,84.5,81.0,86.5,Doped water phantom radius,
odd_ghost_p-p%,0.0,5.0,0.0,10.0,Odd ghost p-p %,
central_roi_SNR,100.0,100000.0,75.0,100000.0,Central ROI SNR,S
center_of_mass_y,28.0140073333838,32.9638687728109,27.1890304268127,33.788845679382,Center of mass y,
center_of_mass_x,30.0528824213927,34.071011383917,29.383194260972,34.7406995443377,Center of mass x,
center_of_mass_z,12.8178829000925,14.5672481911823,12.5263220182442,14.8588090730306,Center of mass z,
even_ghost_p-p,0.0,5.0,0.0,10.0,Even ghost p-p,
peripheral_roi_mean,100.0,200.0,50.0,300.0,Peripheral ROI mean,
central_roi_detrended_std%,0.0,0.15,0.0,0.25,Central ROI detrended stddev %,
peripheral_angle_SFNR_p-p%,0,10.0,0,10.0,Peripheral angle SFNR p-p %,
central_roi_detrended_mean,600.0,900.0,500.0,1200.0,Central ROI detrended mean,M
peripheral_roi_detrended_std%,0,0.125,0,0.15,Peripheral ROI detrended stddev %,
even_ghost_max,0.0,5.0,0.0,10.0,Even ghost max,
peripheral_angle_p-p%,0,10.0,0,10.0,Peripheral angle intensity p-p %,
peripheral_roi_SFNR,100.0,200.0,50.0,300.0,Peripheral ROI SFNR,
